G4,G7,G14,G19,S1,S2,S3,S4,S8
3,4,-3.58157,0,12.9366,499.381,3773.09,4267.8,0.384757
2,4,-3.69572,0,12.9138,613.98,4094.02,4701.7,0.371897
3,4,-6.45584,0,19.0074,1118.94,11492.4,12094.4,0.408495
3,4,-5.02538,0,16.2081,917.043,6877.23,7518.81,0.379856
2,4,-5.13613,0,16.1108,1046.95,7277.44,8034.87,0.371887
4,5,-4.91174,0,15.8245,1148.27,6946.59,7807.17,0.356035
0,2,-4.97483,0,16.3718,1048.17,8908.01,9917.25,0.395564
0,3,-5.11767,0,16.3686,1340.74,8872.9,10167.8,0.370635
0,2,-4.85508,0,16.6142,747.37,9562.1,10306.3,0.427891
0,2,-6.65886,0,16.7424,1847.48,12387.7,13793.6,0.368423
3,5,-4.77897,0,14.0961,1065.54,5101.32,5853.24,0.3238
3,5,-4.77889,0,13.6882,1312.83,5116.06,5497.27,0.276331
3,6,-4.19393,0,15.2174,965.643,5828.77,6470.57,0.35406
3,5,-3.29498,0,12.373,2645.51,4079.87,6141.25,0.150971
3,5,-4.51139,0,11.9756,2817.98,3538.87,5709.1,0.128049
3,5,-3.78685,0,11.9756,1942.7,3289.58,4951.7,0.174242
3,5,-6.18333,0,13.3374,4125.22,5831.62,8183.74,0.105577
3,6,-3.93302,2,12.0405,2651.21,3653.62,5674.31,0.135302
3,5,-5.14821,0,15.8583,3358.63,7827.63,9588.47,0.188106
3,6,-3.20686,0,11.9756,2290.99,3784.75,5639.15,0.164291
4,6,-3.5372,0,12.1185,2677.16,4083.41,6146.49,0.148246
4,7,-2.79438,0,11.9812,2443.08,4088.01,6063.86,0.165849
5,7,-3.27682,0,11.9812,3493.96,4014.57,6524.98,0.111145
4,6,-3.69633,0,11.9812,2421.73,4069.18,6014.15,0.16557
3,5,-4.33957,0,11.586,2971.41,3411.91,5410.82,0.101919
3,5,-3.59176,0,13.5012,2601.05,4930.01,6604.86,0.162392
3,5,-4.18651,0,11.278,2469.7,3550.88,5297.65,0.130603
3,5,-4.17003,1,11.278,2634.44,3052.04,5114.09,0.124679
2,5,-3.8558,0,11.278,2187.1,3163.95,4805.11,0.138605
2,4,-4.43537,0,11.278,1939.61,2636.14,4197.4,0.141554
3,6,-4.75987,2,11.9862,2774.61,3320.03,5424.18,0.121982
3,5,-5.2992,1,11.9862,2661.2,3296.02,5279.55,0.122144
3,5,-4.6137,0,11.9862,1957.79,3033.84,4612.04,0.155847
4,6,-3.76868,0,13.4961,2964.14,4945.25,6976.79,0.147425
3,5,-4.93566,0,11.9862,2352.04,3343.78,5135.64,0.138586
3,5,-5.34271,1,16.2564,2887.71,9748.86,11285.9,0.259951
2,4,-6.65875,0,16.6572,2594,9441.2,10532,0.268599
0,1,-3.86851,0,13.626,783.842,5090.45,5285.28,0.356655
0,3,-3.9511,0,13.2659,994.574,5207.23,5609.6,0.329071
0,1,-3.39423,0,13.6302,640.104,4627.69,4675.59,0.368402
0,3,-3.0393,0,14.1117,752.587,4481.56,5227.76,0.359411
0,4,-5.18701,0,16.1978,1299.48,11336.4,11435.2,0.389864
9,15,-2.36557,9,14.8185,4896.36,8182.71,10017.3,0.10558
1,3,-3.76852,0,11.9896,317.18,2538.76,2774.03,0.387149
6,10,-3.27786,5,16.9613,1295.9,10705.4,10930.5,0.384743
3,5,-3.33831,0,12.7925,482.286,3177.65,3483.1,0.364241
5,6,-2.03773,2,11.8967,641.824,3571.97,3874.13,0.339336
5,9,-2.97182,6,15.8497,1466.07,9189.35,10241.3,0.359729
3,5,-2.66553,1,11.937,635.581,3083.6,3569.69,0.327476
10,16,-2.87732,10,13.8504,7060.38,8297.27,10071.1,0.031212
3,6,-2.94477,2,13.4054,796.314,3621.01,4170.55,0.31578
6,8,-1.4629,2,11.945,899.26,3951.66,4365.13,0.303004
5,6,-2.99683,0,11.912,810.818,3682.93,4125.67,0.311007
4,6,-3.55168,0,11.8982,723.902,3122.09,3751.47,0.314512
2,3,-3.79003,0,11.3318,610.338,2508.01,2979.79,0.303634
7,10,-2.57687,5,11.9762,3109.5,4199.33,6574.75,0.133547
7,11,-2.49116,6,16.4638,1629.07,10764.8,11635,0.363001
4,6,-3.34059,0,12.7015,617.26,3564.47,4110.4,0.353316
1,2,-2.13803,2,10.0608,377.179,1504.97,1673.59,0.286192
1,4,-2.54804,2,10.0525,612.149,1905.54,2280.22,0.249625
1,3,-1.12127,2,9.80791,334.496,1277.32,1432.84,0.279137
3,3,-1.17423,0,5.71723,276.555,276.671,548.747,0.163066
3,5,-4.44024,1,11.9326,2373.94,3251.62,5134.26,0.140173
3,5,-3.55652,1,11.9326,2377.95,3263.76,5162,0.141305
4,6,-3.20199,1,12.1231,2764.99,3586.64,5742.04,0.132607
3,5,-4.11828,1,11.9326,1954.88,2989.69,4593.54,0.156608
4,6,-4.02136,1,11.9326,3147.21,3590,5878.26,0.112393
3,6,-4.26445,3,11.9326,2808.62,3277.31,5434.17,0.122149
4,6,-3.85215,2,11.9326,2987.02,3052.89,5529.2,0.129051
2,4,-3.37712,1,11.242,2196.06,3064.9,4784.91,0.140326
3,5,-3.67312,2,11.2552,2615.36,3000.4,5106.73,0.128715
3,5,-3.6896,1,11.9761,2464.19,3468.14,5307.38,0.134805
3,5,-3.84266,1,11.586,2867.98,3420.71,5431.86,0.110493
5,7,-2.63414,2,11.9789,2939.14,4056.11,6419.9,0.142905
5,7,-2.80305,1,11.9388,3486.7,4173.32,6743.46,0.117815
4,6,-2.4084,1,13.0418,2747.42,4630.28,6737.3,0.16069
4,6,-3.04391,1,11.9787,2750.14,3939.17,6062.52,0.141175
4,6,-3.58577,2,12.3618,2222.01,4558.35,5857.16,0.169602
3,6,-2.71357,1,11.937,2350.5,3676.27,5546.27,0.155294
3,5,-3.86642,2,11.937,2785.12,3748.76,6038.93,0.143798
3,6,-3.44538,3,12.335,2349.41,4046.03,5358.02,0.134901
3,5,-4.0181,1,11.937,2848.57,3439.37,5633.43,0.124986
3,5,-2.80169,1,12.1981,2718.73,3937.48,6055.6,0.143594
1,3,-2.49006,0,10.4252,914.268,1941.6,2576.25,0.187693
1,3,-3.1536,0,10.4257,1331.53,2145.64,2900.44,0.124887
2,4,-2.16126,1,10.4184,935.894,2350.12,2550.31,0.180053
3,5,-1.79365,0,10.425,1391.92,2791,3195.89,0.13479
2,4,-0.272746,3,8.49691,567.771,1277.08,1416.42,0.15693
1,4,-0.232999,3,8.49691,745.19,1337.67,1585.97,0.115185
1,4,-0.764774,3,10.0901,1094.87,1633.98,2229.83,0.109369
1,4,-3.01867,4,15.8082,2069.26,5191.87,6521.93,0.21245
1,4,-3.14826,4,15.276,2091.89,5882,7203.13,0.23242
0,3,-4.20307,0,13.3185,562.832,4377.58,4904.77,0.38683
0,1,-3.8608,0,13.3756,525.83,3706.18,4196.84,0.376777
0,1,-4.04741,0,12.2274,495.205,3282.75,3742.82,0.370132
0,1,-4.1655,0,13.059,497.976,3180.15,3639.89,0.365882
1,2,-3.48801,0,12.6381,494.534,3220.57,3678.37,0.368112
0,2,-4.21289,0,15.4879,521.978,4795.59,5276.09,0.402058
0,2,-4.48356,0,16.7572,525.36,5878.16,6358.78,0.41795
0,2,-4.92596,0,15.4826,592.489,5932.32,6380.25,0.407946
0,1,-4.15236,0,13.0025,489.086,3261.1,3711.06,0.370601
0,1,-4.03939,0,12.1397,487.193,3374.16,3825.26,0.374801
0,1,-4.50251,0,12.5117,501.954,4136.62,4601.7,0.392263
1,3,-0.551275,2,10.4061,452.751,1818.53,2021.42,0.287387
1,3,-0.910554,2,10.7196,460.179,2167.43,2348.34,0.312378
1,3,-1.26984,2,10.7812,531.773,2327.48,2592.32,0.303563
2,4,-0.215119,2,10.0471,636.521,2238.73,2487.61,0.260896
2,4,-0.496567,2,10.6904,935.839,2311.71,2855.13,0.204292
2,4,-1.02434,2,11.0018,1813.83,2524.52,3900.75,0.135743
2,5,-0.919343,2,10.6904,1510.25,2496.38,3509.06,0.143886
2,5,-1.18326,2,11.0258,1989.58,2731.22,4254.28,0.135492
1,3,-1.77231,2,11.292,1736.32,2621.31,3974.32,0.148405
1,4,-1.43462,3,10.1962,1572.29,1816.45,2986.61,0.116707
1,4,-1.6359,3,10.9589,1816.63,2049.13,3445.14,0.12017
1,4,-1.75732,3,10.7806,1821.04,1979.08,3385.77,0.119064
1,3,-1.2828,3,10.3516,1172.39,1624.33,2581.56,0.145461
3,5,-1.17444,0,10.4267,1398.8,2761.93,3271.55,0.13863
1,3,-1.87082,0,10.4268,899.07,1947.98,2544.56,0.187934
2,4,-2.07311,0,10.0801,587.654,1618.82,2165.77,0.251611
1,4,-2.21144,0,9.50337,1040.88,1881.5,2697.42,0.172969
1,4,-2.07899,0,10.6362,978.829,1954.31,2693.58,0.184431
1,5,-0.668982,3,9.12089,1130.42,1660.84,2218.3,0.0991164
5,8,0.360995,5,10.2295,1397.87,1881.96,2801.38,0.11427
1,4,-1.38265,3,12.3719,1791.5,2534.49,3948.09,0.142765
1,3,-1.60517,0,9.98023,930.782,1452.64,2281.15,0.170062
1,2,-2.32198,0,9.9609,822.88,1360.71,2107.84,0.179196
1,4,-1.67364,0,9.01464,843.629,1586.21,2256.47,0.180109
